# TCEQ regulated entities under the Electric Generating Facilities
# unit rule (8340), standby gensets at stores/schools/hospitals
# removed, most-likely-generation first. One RN per line.
# Use: permits_cli.py scrape --rn-file data/scrape_targets_egf.txt
RN100226067,BAYTOWN ENERGY CENTER LLC
RN100213107,CHANNEL ENERGY CENTER LLC
RN111112082,MARK ONE GENERATING LLC
RN110723897,SJRR POWER LLC
RN110947363,HO CLARKE GENERATING LLC
RN110696283,TOPAZ GENERATING LLC
RN111087029,SIBYL GENERATING LLC
RN100222033,DEER PARK ENERGY CENTER LLC
RN108462102,PORT COMFORT POWER LLC
RN109001842,CHAMON POWER LLC
RN102584844,WISE COUNTY POWER COMPANY LLC
RN111020285,SKY GLOBAL POWER TWO LLC
RN106556509,POWER DEPOT-TEXAS GROUP A LLC
RN106539406,POWER DEPOT-TEXAS GROUP A LLC
RN106555923,POWER DEPOT-TEXAS GROUP A LLC
RN106498843,POWER DEPOT-TEXAS GROUP A LLC
RN106506397,POWER DEPOT-TEXAS GROUP A LLC
RN106557416,POWER DEPOT-TEXAS GROUP A LLC
RN106537988,POWER DEPOT-TEXAS GROUP A LLC
RN106556343,POWER DEPOT-TEXAS GROUP A LLC
RN106557093,POWER DEPOT-TEXAS GROUP A LLC
RN106538077,POWER DEPOT-TEXAS GROUP A LLC
RN106579691,POWER DEPOT-TEXAS GROUP A LLC
RN106565476,POWER DEPOT-TEXAS GROUP A LLC
RN110451648,VICTORIA PORT POWER II LLC
RN100216092,JACK A. FUSCO ENERGY CENTER  LLC
RN111390852,HIGHPEAK ENERGY HOLDINGS LLC
RN106556509,POWER DEPOT - TEXAS GROUP A  LLC
RN106555923,POWER DEPOT - TEXAS GROUP A  LLC
RN106557416,POWER DEPOT - TEXAS GROUP A  LLC
RN106556343,POWER DEPOT - TEXAS GROUP A  LLC
RN106557093,POWER DEPOT - TEXAS GROUP A  LLC
RN106565476,POWER DEPOT - TEXAS GROUP A  LLC
RN111340964,REMY JADE GENERATING LLC
RN106539406,POWER DEPOT - TEXAS GROUP A  LLC
RN106537988,POWER DEPOT - TEXAS GROUP A  LLC
RN106538077,POWER DEPOT - TEXAS GROUP A  LLC
RN106506397,POWER DEPOT - TEXAS GROUP A  LLC
RN106498843,POWER DEPOT - TEXAS GROUP A  LLC
RN106498744,POWER DEPOT - TEXAS GROUP A  LLC
RN106485618,POWER DEPOT - TEXAS GROUP A  LLC
RN106471600,APEX BETHEL ENERGY CENTER  LLC
RN102584844,WISE COUNTY POWER COMPANY  LLC
RN111170924,BROTMAN GENERATING  LLC
RN106425242,TEJAS POWER GENERATION  LLC
RN111112082,MARK ONE GENERATING  LLC
RN111170924,BROTMAN GENERATING LLC
RN107044257,POWERSITE LLC
RN106425242,TEJAS POWER GENERATION LLC
RN111583530,HIVOLT POWER I LLC
RN111528956,POWERSECURE INC
RN105891626,POWERSECURE INC
RN106348378,POWERSECURE INC
RN106350739,POWERSECURE INC
RN105726756,POWERSECURE INC
RN105726772,POWERSECURE INC
RN106579691,POWER DEPOT - TEXAS GROUP A  LLC
RN106556046,APEX MATAGORDA ENERGY CENTER  LLC
RN107817983,SHAWNEE ENERGY CENTER  LLC
RN111697116,RPOWER LLC
RN107585721,SKY GLOBAL POWER ONE  LLC
RN107679334,POWERSITE LLC
RN111718524,RPC POWER LLC
RN111711404,POWERSECURE INC
RN111700639,RPOWER LLC
RN111658415,RPC POWER LLC
RN100226067,BAYTOWN ENERGY CENTER  LLC
RN112104658,FORT WORTH POWER CORE LLC
RN112104302,EMBERGREEN ENERGY CENTER LLC
RN111366449,ELMAX GENERATING LLC
RN112099825,EMBERYORK ENERGY CENTER LLC
RN112095989,FORT WORTH POWER CORE LLC
RN112090626,PECOS POWER PLANT LLC
RN108858648,POWERSITE LLC
RN108761107,POWERSITE LLC
