Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
District,Roll #,Year,Beginning Field,Beginning Operator,Beginning Lease,Ending Field,Ending Operator,Ending Lease
7C,CPM7C-1,23376,District General,Varies,Varies,Fennell (King Sand),Varies,Varies
7C,CPM7C-2,23376,Fort Chadbourne  ,Varies,Varies,Ranch (Strawn),Varies,Varies
7C,CPM7C-3,23376,Rodman-Noel (Grayburg),Varies,Varies,-,Varies,Varies
7C,CPO7C-1,23376,Adam Bend Field,Gulf Oil Co.,Correspondence,Amigo San Andres,"J.W. Conine, Jr.",-
7C,CPO7C-2,23376,Andergram Fry,James K. Anderson et al,"Prusser, Fred",Betty Grayburg,-,-
7C,CPO7C-3,23376,Big Chief Field,"A, L & M Oil Co.",T.L. West,-,-,-
7C,CPO7C-4,23376,Clara Couch Cisco,Correspondence,Correspondence,-,-,-
7C,CPO7C-5,23376,Cree-Sykes (Up. Gardner),Union Sulphur & Oil Corp.,"Sykes, Albert",-,-,-
7C,CPO7C-6,23376,Farmer San Andres,Correspondence,Correspondence,Fort Chadbourne Gardner,Humble Oil & Refining Co.,-
7C,CPO7C-7,23376,Fort Chadbourne Gray Field,Gulf Oil Co.,"Byrd, John C.",-,-,-
7C,CPO7C-8,23376,I.A.B. N.E. Ellenburger ,Standard Oil Co.,"Reid, Lura et al",Jameson Strawn,Sunray Oil Corp.,-
7C,CPO7C-9,23376,Jameson (Strawn),Sunray Oil Corp.,Correspondence,Amigo San Andres,"J.W. Conine, Jr.",-
7C,CPO7C-10,23376,Lygay E. (Strawn Lime),Monsanto Chemical,Sadie,-,-,-
7C,CPO7C-11,23376,McCamey,Jack Beckman,J.H. King,-,-,-
7C,CPO7C-12,23376,Midway Lane (1300'),Correspondence,Correspondence,-,-,-
7C,CPO7C-13,23376,North Norton,Correspondence,Correspondence,-,-,-
7C,CPO7C-14,23376,Pegasus (Dev.),Magnolia Pet. Co.,"TXL ""S""",-,-,-
7C,CPO7C-15,23376,Poe Goen Sand,Humble Oil & Refining ,"Poe, G.W.",-,-,-
7C,CPO7C-16,23376,Shannon (San Andres),Correspondence,Correspondence,-,-,-
7C,CPO7C-17,23376,Spraberry Trend Area   ,John L. Cox,Ringo,Spraberry Trend Area,Slick Oil Corp.,Ralph Pen Brooks
7C,CPO7C-18,23376,Spraberry Trend Area   ,Mobil Oil Corp. ,Greathouse 6,-,-,-
7C,CPO7C-19,23376,Spraberry Trend Area,Southland Royalty Co.,Boyd,-,-,-
7C,CPO7C-19A,23376,Spraberry Trend Area   ,Amerada Petroleum Corp.,"Tippett ""1""",-,-,-
7C,CPO7C-20,23376,Spraberry Trend Area   ,Phillips Petro. Co.,Rem,-,-,-
7C,CPO7C-21,23376,Trippett,Correspondence,Correspondence,Winter Valley (SA),Correspondence,Correspendence
7C,CPO7C-22,23376,Weaver (Palo Pinto),Humble Oil & Refining,H.H. Weaver,World Field,Thomas & Doss,Correspendence
7C,CPO7C-23,23376,World Field,Republic Prod. Co.,Correspondence,-,-,-
7C,CPG7C-1,23376,Addie ,Stanolind Oil Co.,WS-1,X-Bar,Meadco Prop.,WS-1
7C,CPG7C-1A,23376,Benedum  ,Correspondence,Correspondence,-,-,-
7C,CPG7C-2A,24107,Benedum  ,Slick-Urschel Oil Co.,"Gordon ""B""",-,-,-
7C,CPG7C-3A,24107,Jack Herbert,Maxwell Oil Co.,Correspondence,-,-,-
7C,CPG7C-4A,24107,Pegasus  ,Mobil Oil Corp. (cont'd),Correspondence,-,-,-
