,,,Wildcat & Suspense,
District,Year,County,API No. ,Roll #
,,,1968 & Prior,
7C,1968 & Prior,Coke thru Runnels,Wildcat by County,WS7C-1
7C,1968 & Prior,Schleicher thru Completed,Wildcat by County,WS7C-2
7C,1968 & Prior,Coke thru Crocket,081-20000 thru 105-20378,WS7C-2
7C,1968 & Prior,Crockett thru Runnels,105-20379 thru 399-20140,WS7C-3
7C,1968 & Prior,Runnels thru Tom Green,399-20141 thru 451-20112,WS7C-4
7C,1968 & Prior,Tom Green thru Completed,451-20113 thru 461-20112,WS7C-5
7C,1971 & Prior,Coke thru Conch,Wildcat by County thru 095-30026,WS7C-6
7C,1971 & Prior,Crockett thru Irion,105-30001 thru 235-30110,WS7C-7
7C,1971 & Prior,Kimble thru Schleicher,267-30001 thru 413-30050,WS7C-8
7C,1971 & Prior,Schleicher thru Upton,413-30051 thru 461-30103,WS7C-9
7C,1974 & Prior,Coke thru Crockett,Wildcat by County 105-30614,WS7C-10
7C,1974 & Prior,Crockett thru Runnels,105-30615 thru 399-30240,WS7C-11
7C,1974 & Prior,Runnels thru Sutton,399-30241 thru 435-30480,WS7C-12
7C,1974 & Prior,Sutton thru Upton ,435-30481 thru 461-30401,WS7C-13
7C,1980 & Prior,Coke thru Coke,Barney Carter Estate thru 081-30589,WS7C-14
7C,1980 & Prior,Coke thru Concho,081-30590 thru 095-30449,WS7C-15
7C,1980 & Prior,Concho thru Crockett,095-30450 thru 105-31115,WS7C-16
7C,1980 & Prior,Crockett thru Crockett,105-31116 thru 105-32467,WS7C-17
7C,1980 & Prior,Crockett thru Irion,105-32468 thru 235-30667,WS7C-18
7C,1980 & Prior,Irion thru McCulloch,235-30668 thru 307-30147,WS7C-19
7C,1980 & Prior,McCulloch thru Reagan,307-30148 thru 383-31510,WS7C-20
7C,1980 & Prior,Reagan thru Runnels,383-31511 thru 399-31189,WS7C-21
7C,1980 & Prior,Runnels thru Runnels,399-31190 thru 339-31768,WS7C-22
7C,1980 & Prior,Runnels thru Schleicher,399-31769 thru 413-30891,WS7C-23
7C,1980 & Prior,Schleicher thru Sutton,413-30892 thru 435-31337,WS7C-24
7C,1980 & Prior,Sutton thru Terrell,435-31338 thru 443-30191,WS7C-25
7C,1980 & Prior,Terrell thru Tom Green,443-30192 thru 451-30667,WS7C-26
7C,1980 & Prior,Tom Green thru Upton,451-30668 thru 461-31719,WS7C-27
7C,1985 & Prior,Coke thru Coke,Guy A. Swartz thru 081-33130,WS7C-28
7C,1985 & Prior,Coke thru Concho,081-31131 thru 095-30711,WS7C-29
7C,1985 & Prior,Concho thru Crockett,095-30712 thru 105-33734,WS7C-30
7C,1985 & Prior,Crockett thru Crockett,105-33735 thru 105-34377,WS7C-31
7C,1985 & Prior,Crockett thru Irion,105-34378 thru 235-31720,WS7C-32
7C,1985 & Prior,Irion thru Irion,235-31721 thru 235-32259,WS7C-33
7C,1985 & Prior,Irion thru McCullogh,235-32260 thru 307-30660,WS7C-34
7C,1985 & Prior,McCullogh thru Menard,307-30661 thru 327-30556,WS7C-35
7C,1985 & Prior,Menard thru Reagan,327-30557 thur 383-33619,WS7C-36
7C,1985 & Prior,Reagan thru Runnels,383-33620 thru 399-32332,WS7C-37
7C,1985 & Prior,Runnels thru Runnels,399-32333 thru 399-32713,WS7C-38
7C,1985 & Prior,Runnels thru Runnels,399-32714 thru 399-33093,WS7C-39
7C,1985 & Prior,Runnels thru Runnels,399-33094 thru 399-33517,WS7C-40
7C,1985 & Prior,Runnels thru Schleicher,399-33518 thru 413-31258,WS7C-41
7C,1985 & Prior,Schleicher thru Sutton,413-31259 thru 435-32613,WS7C-42
7C,1985 & Prior,Sutton thru Terrell,435-32612 thru 443-30312,WS7C-43
7C,1985 & Prior,Terrell thru Tom Green,443-30313 thru 451-30984,WS7C-44
7C,1985 & Prior,Tom Green thru Tom Green,451-30985 thru 451-31308,WS7C-45
7C,1985 & Prior,Tom Green thru Upton,451-31309 thru 461-31750,WS7C-46
7C,1985 & Prior,Upton thru Upton,461-31751 thru 461-81567,WS7C-47
7C,1999 & Prior,Coke thru Concho,Ada Oil Co thru 095-31625,WS7C-48
7C,1999 & Prior,Concho thru Crockett,095-31626 thru 105-37905,WS7C-49
7C,1999 & Prior,Crockett thru Reagan,105-37906 thru 383-33900,WS7C-50
7C,1999 & Prior,Reagan thru Schleicher,383-33901 thru 413-31625,WS7C-51
7C,1999 & Prior,Schleicher thru Tom Green,413-31626 thru 451-31850,WS7C-52
7C,1999 & Prior,Tom Green thru Upton,451-31851 thru 461-81018,WS7C-53
7C,1999 & Prior (Logs),Coke thru Upton,081-80374 thru 461-34014,WS7C-54
